year,city,country,avg_temp
1903,Ljubljana,Slovenia,9.48
1904,Ljubljana,Slovenia,9.89
1905,Ljubljana,Slovenia,9.04
1906,Ljubljana,Slovenia,9.11
1907,Ljubljana,Slovenia,9.19
1908,Ljubljana,Slovenia,8.64
1909,Ljubljana,Slovenia,8.87
1910,Ljubljana,Slovenia,9.58
1911,Ljubljana,Slovenia,9.83
1912,Ljubljana,Slovenia,8.89
1913,Ljubljana,Slovenia,9.29
1914,Ljubljana,Slovenia,8.78
1915,Ljubljana,Slovenia,9.22
1916,Ljubljana,Slovenia,10.14
1917,Ljubljana,Slovenia,9.02
1918,Ljubljana,Slovenia,9.44
1919,Ljubljana,Slovenia,8.85
1920,Ljubljana,Slovenia,10.1
1921,Ljubljana,Slovenia,9.94
1922,Ljubljana,Slovenia,8.97
1923,Ljubljana,Slovenia,9.91
1924,Ljubljana,Slovenia,9.09
1925,Ljubljana,Slovenia,9.43
1926,Ljubljana,Slovenia,10.11
1927,Ljubljana,Slovenia,10.04
1928,Ljubljana,Slovenia,9.89
1929,Ljubljana,Slovenia,8.85
1930,Ljubljana,Slovenia,10.24
1931,Ljubljana,Slovenia,9.18
1932,Ljubljana,Slovenia,9.29
1933,Ljubljana,Slovenia,8.66
1934,Ljubljana,Slovenia,10.51
1935,Ljubljana,Slovenia,9.46
1936,Ljubljana,Slovenia,10.02
1937,Ljubljana,Slovenia,9.84
1938,Ljubljana,Slovenia,9.51
1939,Ljubljana,Slovenia,9.69
1940,Ljubljana,Slovenia,8
1941,Ljubljana,Slovenia,8.54
1942,Ljubljana,Slovenia,9.05
1943,Ljubljana,Slovenia,10.16
1944,Ljubljana,Slovenia,9.26
1945,Ljubljana,Slovenia,10.03
1946,Ljubljana,Slovenia,10.23
1947,Ljubljana,Slovenia,10.01
1948,Ljubljana,Slovenia,9.96
1949,Ljubljana,Slovenia,10.11
1950,Ljubljana,Slovenia,10.48
1951,Ljubljana,Slovenia,10.52
1952,Ljubljana,Slovenia,9.77
1953,Ljubljana,Slovenia,9.78
1954,Ljubljana,Slovenia,8.92
1955,Ljubljana,Slovenia,9.28
1956,Ljubljana,Slovenia,8.52
1957,Ljubljana,Slovenia,9.81
1958,Ljubljana,Slovenia,10.04
1959,Ljubljana,Slovenia,9.93
1960,Ljubljana,Slovenia,9.9
1961,Ljubljana,Slovenia,10.33
1962,Ljubljana,Slovenia,8.72
1963,Ljubljana,Slovenia,9.11
1964,Ljubljana,Slovenia,9.31
1965,Ljubljana,Slovenia,8.99
1966,Ljubljana,Slovenia,10.08
1967,Ljubljana,Slovenia,9.96
1968,Ljubljana,Slovenia,9.61
1969,Ljubljana,Slovenia,9.23
1970,Ljubljana,Slovenia,9.38
1971,Ljubljana,Slovenia,9.48
1972,Ljubljana,Slovenia,9.5
1973,Ljubljana,Slovenia,9.36
1974,Ljubljana,Slovenia,9.98
1975,Ljubljana,Slovenia,10.21
1976,Ljubljana,Slovenia,9.33
1977,Ljubljana,Slovenia,10.12
1978,Ljubljana,Slovenia,8.86
1979,Ljubljana,Slovenia,9.8
1980,Ljubljana,Slovenia,8.86
1981,Ljubljana,Slovenia,9.68
1982,Ljubljana,Slovenia,10.11
1983,Ljubljana,Slovenia,10.17
1984,Ljubljana,Slovenia,9.31
1985,Ljubljana,Slovenia,9.27
1986,Ljubljana,Slovenia,9.46
1987,Ljubljana,Slovenia,9.55
1988,Ljubljana,Slovenia,10.23
1989,Ljubljana,Slovenia,10.37
1990,Ljubljana,Slovenia,10.56
1991,Ljubljana,Slovenia,9.58
1992,Ljubljana,Slovenia,10.78
1993,Ljubljana,Slovenia,10.19
1994,Ljubljana,Slovenia,11.33
1995,Ljubljana,Slovenia,10.14
1996,Ljubljana,Slovenia,9.24
1997,Ljubljana,Slovenia,10.18
1998,Ljubljana,Slovenia,10.42
1999,Ljubljana,Slovenia,10.51
2000,Ljubljana,Slovenia,11.45
2001,Ljubljana,Slovenia,10.74
2002,Ljubljana,Slovenia,11.18
2003,Ljubljana,Slovenia,10.83
2004,Ljubljana,Slovenia,10.06
2005,Ljubljana,Slovenia,9.62
2006,Ljubljana,Slovenia,10.56
2007,Ljubljana,Slovenia,11.31
2008,Ljubljana,Slovenia,11.09
2009,Ljubljana,Slovenia,11.06
2010,Ljubljana,Slovenia,10
2011,Ljubljana,Slovenia,11.02
2012,Ljubljana,Slovenia,11.12
2013,Ljubljana,Slovenia,11.58
